,Schools in Building,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1570,P.S. 064 Joseph P. Addabbo | 82-01 101 Avenue,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11385.0,40.696556,-73.897405,5.0,30.0,557.0,4437837.0,4035790001.0,Ridgewood                                                                  
1571, Girls Preparatory Charter School of the Bronx | M.S. 302 Luisa Dessus Cruz | 681 KELLY STREET,2.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10456.0,40.836404,-73.905014,3.0,16.0,14702.0,2009463.0,2029020001.0,Claremont-Bathgate                                                         
1572,P.S. 154 Queens,0.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11413.0,40.673069,-73.743173,13.0,31.0,646.0,4283015.0,4131700012.0,Laurelton                                                                  
1573,The Harbor View School,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,10309.0,40.541555,-74.217932,3.0,51.0,226.0,5158758.0,5070920039.0,Charleston-Richmond Valley-Tottenville                                     
1574,Queens Academy High School,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11358.0,40.765133,-73.790083,11.0,19.0,1139.0,4119139.0,4052610001.0,Auburndale                                                                 
1575,P.S. 209 Clearview Gardens | P.S. 009 | 16-10 UTOPIA PARKWAY,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11364.0,40.747747,-73.745747,11.0,23.0,1377.0,4163698.0,4076770001.0,Oakland Gardens                                                            
1576,Bronx Collegiate Academy |DreamYard Preparatory School |New Directions Secondary School |Bronx High School of Business |Bronx High School for Medical Science |Jonathan Levin High School for Media and Communica |Claremont International HS |240 EAST 172 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10469.0,40.859665,-73.861006,11.0,13.0,324.0,2050179.0,2043580001.0,Bronxdale                                                                  
1577,P.S. 046 Alley Pond | 64-45 218 Street,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11435.0,40.695238,-73.807364,12.0,28.0,206.0,4214461.0,4100240012.0,Jamaica                                                                    
1578,P.S. 169 Bay Terrace |  BELL Academy |  18-25 212 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11102.0,40.771336,-73.929086,1.0,22.0,83.0,4006046.0,4005370014.0,Old Astoria                                                                
1579,P.S. 232 Lindenwood,1.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11102.0,40.766792,-73.922589,1.0,22.0,73.0,4007619.0,4005920015.0,Old Astoria                                                                
1580,Collegiate Institute for Math and Science|Astor Collegiate Academy|C Columbus Hs Yabc|Bronxdale High School|High School of Language and Innovation|Pelham Preparatory Academy|925 ASTOR AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10469.0,40.859665,-73.861006,11.0,13.0,324.0,2050179.0,2043580001.0,Bronxdale                                                                  
1581,"P.S. 211| I.S. X318 Math, Science & Technology Through Arts| Childrenâs Aid College Prep Charter School| 1919 PROSPECT AVENUE CONSOLIDATED LOCATION",3.0,3.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,10456.0,40.828419,-73.900721,3.0,17.0,135.0,2004869.0,2026720001.0,Morrisania-Melrose                                                         
1582,P.S. 176 Cambria Heights,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11365.0,40.741803,-73.779634,8.0,23.0,1347.0,4153407.0,4071280010.0,Fresh Meadows-Utopia                                                       
1583,P.S./M.S. 004 Crotona Park West | Icahn Charter School 6 |  1701 FULTON AVENUE CONSOLIDATED LOCATION,1.0,1.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10463.0,40.881066,-73.905366,8.0,11.0,287.0,2083564.0,2057560195.0,Spuyten Duyvil-Kingsbridge                                                 
1584,"Frederick Douglass Academy VI High School |  Knowledge and Power Preparatory Academy VI |  Queens High School for Information, Research, and |  Academy of Medical Technology: A College Board Sch |  8-21 BAY 25 STREET CONSOLIDATED LOCATION",,,3C,251-500,,,,,,11691.0,40.60201,-73.762795,14.0,31.0,100802.0,4300730.0,4157360001.0,Far Rockaway-Bayswater                                                     
1585,BAYCHESTER ACADEMY | 3500 Edson Avenue,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10453.0,40.848899,-73.909528,5.0,14.0,23301.0,2098479.0,2028510021.0,Mount Hope                                                                 
1586,Bedford Park Elementary School| P469X - The Bronx School for Continuous Learners| 3177 WEBSTER AVENUE CONSOLIDATED LOCATION,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10475.0,40.875894,-73.833863,10.0,12.0,46201.0,2116161.0,2051410150.0,Co-op City                                                                 
1587,Bronx Alliance Middle School |  One World Middle School at Edenwald |  Baychester Middle School |  3750 BAYCHESTER AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10463.0,40.875911,-73.901099,8.0,14.0,273.0,2015547.0,2032530141.0,Van Cortlandt Village                                                      
1588,The Michael J. Petrides School,6.0,2.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,10456.0,40.833665,-73.902499,3.0,16.0,14701.0,2009617.0,2029250056.0,Claremont-Bathgate                                                         
1589,Catherine & Count Basie Middle School 72|  Redwood Middle School|  133-25 GUY R BREWER BOULEVARD CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11364.0,40.745201,-73.767446,11.0,23.0,1367.0,4163953.0,4077230001.0,Oakland Gardens                                                            
1590,P.S. 214 |  Emolior Academy |  1970 WEST FARMS ROAD CONSOLIDATED LOCATION,,,6C,1001-1250,,,,,,10452.0,40.844316,-73.913604,4.0,14.0,22702.0,2103870.0,2028470041.0,Mount Hope                                                                 
1591,J.H.S. 194 William Carr,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11691.0,40.600199,-73.743968,14.0,31.0,101002.0,4298856.0,4155970001.0,Far Rockaway-Bayswater                                                     
1592,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10301.0,40.608517,-74.102078,2.0,50.0,177.0,5113169.0,5006830001.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
1593,P.S. 333 - The Museum School |  The Academy of the Arts |  888 REV J A POLITE AVE CONSOLIDATED LOCATION,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10460.0,40.836575,-73.892817,3.0,17.0,153.0,2009865.0,2029390045.0,Crotona Park East                                                          
1594,Urban Institute of Mathematics| Bronx Delta School| Mott Hall Community School| 650 HOLLYWOOD AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10465.0,40.826526,-73.818417,10.0,13.0,158.0,2077130.0,2054380001.0,Schuylerville-Throgs Neck-Edgewater Park                                   
1595,P.S. 069 Journey Prep School,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10465.0,40.822604,-73.818247,10.0,13.0,158.0,2077162.0,2054400001.0,Schuylerville-Throgs Neck-Edgewater Park                                   
1596,P.S. 130 Abram Stevens Hewitt | 750 Prospect Avenue,1.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10473.0,40.823526,-73.859662,9.0,18.0,42.0,2103869.0,2036440001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
1597,P.S. 094 David D. Porter,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11421.0,40.694518,-73.859659,9.0,32.0,12.0,4181565.0,4088550020.0,Woodhaven                                                                  
1598,Veritas Academy|  Queens High School for Language Studies|  Flushing High School|  Flushing Yabc|  Flushing Evening High Schl M/W,8.0,3.0,11C,2501-3000,3.14,13.0,34.86,8.29,5.29,11691.0,40.60201,-73.762795,14.0,31.0,100802.0,4300730.0,4157360001.0,Far Rockaway-Bayswater                                                     
1599,Renaissance High School for Musical Theater & Tech |  Pelham Lab High School |  Schuylerville Preparatory High School |  Bronx River High School |  Herbert H. Lehman High School. |  Herbert H. Lehman Yabc |  Westchester Square Academy |  3000 EAST TREMONT AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10461.0,40.840702,-73.838545,10.0,13.0,194.0,2074045.0,2053680001.0,Schuylerville-Throgs Neck-Edgewater Park                                   
1600,Townsend Harris High School,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11101.0,40.744412,-73.93364,2.0,26.0,179.0,4003442.0,4002490001.0,Hunters Point-Sunnyside-West Maspeth                                       
1601,P.S. 134 George F. Bristow | 1330 Bristow Street,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10467.0,40.862109,-73.864577,11.0,13.0,330.0,2051313.0,2044320001.0,Bronxdale                                                                  
1602,Stephen T. Mather Building Arts & Craftsmanship Hi|  BUSINESS OF SPORTS SCHOOL|  Urban Assembly Gateway School for Technology| Success Academy Hell's Kitchen|  439 West 49th Street CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10019.0,40.76337,-73.990593,4.0,3.0,127.0,1026646.0,1010590015.0,Clinton                                                                    
1603,P.S. 021 Edward Hart,0.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11355.0,40.75146,-73.817849,7.0,20.0,1205.0,4117403.0,4052010021.0,East Flushing                                                              
1604,P.S. 071 Forest | 62-85 FOREST AVENUE,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11434.0,40.673769,-73.775951,12.0,28.0,33402.0,4270059.0,4124950270.0,Springfield Gardens North                                                  
1605,P.S. 013 M. L. Lindemeyer,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10301.0,40.6397,-74.079141,1.0,49.0,11.0,5000291.0,5000180015.0,West New Brighton-New Brighton-St. George                                  
1606,P.S. 055 Henry M. Boehm,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10314.0,40.583139,-74.161862,2.0,51.0,27702.0,5145698.0,5024500305.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
1607,P.S. 140 Edward K Ellington,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11368.0,40.755451,-73.855192,3.0,21.0,381.0,4043827.0,4017560025.0,North Corona                                                               
1608,P.S. 251 Queens,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11368.0,40.748838,-73.865161,4.0,21.0,407.0,4040271.0,4016080058.0,North Corona                                                               
1609,West Bronx Academy for the Future|  Knowledge and Power Preparatory Academy Internatio|  Belmont Preparatory High School|  Fordham High School for the Arts|  Fordham Leadership Academy for Business and Techno|  Bronx High School for Law and Community Service|    500 EAST FORDHAM ROAD CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10458.0,40.860043,-73.888267,6.0,15.0,387.0,2011810.0,2030590001.0,Belmont                                                                    
1610,P.S. Q004,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11693.0,40.589508,-73.805361,14.0,31.0,94202.0,4303354.0,4161120001.0,Hammels-Arverne-Edgemere                                                   
1611,P.S. 051 | 87-45 117 Street,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11691.0,40.603622,-73.749097,14.0,31.0,103202.0,4298234.0,4155570025.0,Far Rockaway-Bayswater                                                     
1612,P.S. 119 | 1075 Pugsley Avenue,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10463.0,40.872895,-73.905244,7.0,14.0,269.0,2096486.0,2032390041.0,Kingsbridge Heights                                                        
1613,Pan American International High School at Monroe|Learning To Work Yabc At Monroe Academy|The Metropolitan Soundview High School|High School of World Cultures|Monroe Academy for Visual Arts & Design|1300 BOYNTON AVENUE CONSOLIDATED LOCATION ,,,3C,251-500,,,,,,10472.0,40.831601,-73.878912,9.0,18.0,56.0,2027459.0,2038640001.0,West Farms-Bronx River                                                     
1614,Catherine & Count Basie Middle School 72|  Redwood Middle School|  133-25 GUY R BREWER BOULEVARD CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11378.0,40.729215,-73.893624,5.0,30.0,49302.0,4058611.0,4025030031.0,Maspeth                                                                    
1615,P.S. 069 Daniel D. Tompkins,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10312.0,40.54438,-74.197897,3.0,51.0,17010.0,5079651.0,5060500002.0,Arden Heights                                                              
1616,P.S. 004 Maurice Wollin,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10312.0,40.523757,-74.185941,3.0,51.0,198.0,5082345.0,5065440001.0,Annadale-Huguenot-Prince's Bay-Eltingville                                 
1617,Frank Sinatra School of the Arts High School,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11101.0,40.742205,-73.928219,2.0,26.0,189.0,4003259.0,4002280020.0,Hunters Point-Sunnyside-West Maspeth                                       
1618,Community Health Academy of the Heights,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10006.0,40.709196,-74.012022,1.0,1.0,13.0,1001037.0,1000520001.0,Battery Park City-Lower Manhattan                                          
1619,I.S. 232 |  I.S. X303 Leadership & Community Service |  Academy for Language and Technology |  1700 MACOMBS ROAD CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10458.0,40.8591,-73.894946,5.0,15.0,38302.0,2011054.0,2030240021.0,Fordham South                                                              
1620,P.S. X010 |  M.S. X101 Edward R. Byrne |  P.S. 304 Early Childhood School |  2750 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10460.0,40.837631,-73.866036,9.0,18.0,21601.0,2028640.0,2039210030.0,West Farms-Bronx River                                                     
1621,Civic Leadership Academy |  Pan American International High School |  Corona Arts and Sciences Academy |  VOYAGES Preparatory |  45-10 94TH STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11373.0,40.74373,-73.870642,4.0,25.0,463.0,4437166.0,4016000061.0,Elmhurst                                                                   
1622,P.S. 183 Dr. Richard R. Green,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11426.0,40.750007,-73.721607,13.0,23.0,155102.0,4173640.0,4084010375.0,Glen Oaks-Floral Park-New Hyde Park                                        
1623,Bronx Alliance Middle School |  One World Middle School at Edenwald |  Baychester Middle School |  3750 BAYCHESTER AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10463.0,40.875911,-73.901099,8.0,14.0,273.0,2015547.0,2032530141.0,Van Cortlandt Village                                                      
1624,MS 118 William W. Niles | 577 East 179 Street,1.0,6.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10469.0,40.86608,-73.850982,11.0,13.0,348.0,2054253.0,2045260001.0,Allerton-Pelham Gardens                                                    
1625,P.S. 174 William Sidney Mount,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11365.0,40.74391,-73.788133,11.0,20.0,1417.0,4128231.0,4056740002.0,Auburndale                                                                 
1626,P.S. 056 Norwood Heights| Bedford Park Elementary School| P469X - The Bronx School for Continuous Learners| 3177 WEBSTER AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10475.0,40.875894,-73.833863,10.0,12.0,46201.0,2116161.0,2051410150.0,Co-op City                                                                 
1627,P.S. 020 John Bowne,0.0,1.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11354.0,40.765162,-73.8288,7.0,20.0,88901.0,4112106.0,4049560055.0,Flushing                                                                   
1628,  Archer Elementary School |  PS 536 |  Bronx Little School |  1827 ARCHER STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10466.0,40.892151,-73.861466,12.0,12.0,420.0,2062883.0,2048230001.0,Williamsbridge-Olinville                                                   
1629,Hillcrest High School,7.0,7.0,12C,3001-4000,1.13,8.47,15.33,3.8,3.07,11101.0,40.744412,-73.93364,2.0,26.0,179.0,4003442.0,4002490001.0,Hunters Point-Sunnyside-West Maspeth                                       
1630,I.S. 229 Roland Patterson | The New American Academy at Roberto Clemente State |  275 HARLEM RIVER PARK BRIDGE CONSOLIDATED LOCATION,0.0,3.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10452.0,40.842495,-73.916082,4.0,14.0,209.0,2008336.0,2028590077.0,West Concourse                                                             
1631,P.S. 011 Highbridge,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10453.0,40.85881,-73.909746,7.0,14.0,255.0,2096013.0,2032240009.0,Kingsbridge Heights                                                        
1632,P.S. 58 - The School of Heroes,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11368.0,40.742668,-73.863307,4.0,21.0,44302.0,4046834.0,4018910032.0,Corona                                                                     
1633,P.S. 214 |  Emolior Academy |  1970 WEST FARMS ROAD CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10452.0,40.842292,-73.924276,4.0,16.0,201.0,2116205.0,2025350010.0,Highbridge                                                                 
1634,J.H.S. 145 Arturo Toscanini|Urban Science Academy|New Millennium Business Academy Middle School|1000 TELLER AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10457.0,40.840878,-73.904754,3.0,16.0,167.0,2009400.0,2028970005.0,Claremont-Bathgate                                                         
1635,Bronx High School for Writing and Communication Ar |  Bronx Lab School |  High School of Computers and Technology |  Bronx Academy of Health Careers |  High School for Contemporary Arts |  Bronx Aerospace High School | EVANDER CHILDS EVENING H.S.  |800 EAST GUN HILL ROAD CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10467.0,40.875953,-73.86197,12.0,12.0,372.0,2057045.0,2046330040.0,Williamsbridge-Olinville                                                   
1636,P.S. 159 Luis Munoz Marin Biling | 2315 Washington Avenue,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,10455.0,40.814916,-73.905518,1.0,8.0,79.0,2004773.0,2026640029.0,Melrose South-Mott Haven North                                             
1637,J.H.S. 125 Henry Hudson |  Blueprint Middle School |  1111 PUGSLEY AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10462.0,40.837931,-73.853524,9.0,18.0,222.0,2041247.0,2039480055.0,Parkchester                                                                
1638,The Family School |  Sheridan Academy for Young Leaders |  1116 SHERIDAN AVENUE CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10473.0,40.821776,-73.876918,9.0,17.0,28.0,2097341.0,2036520001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
1639,P.S. 030 Wilton I American Dream Charter School,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10460.0,40.850561,-73.883743,6.0,15.0,393.0,2098380.0,2031000014.0,Belmont                                                                    
1640,PS 527 - East Side School for Social Action,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10019.0,40.767791,-73.987531,4.0,3.0,139.0,1026841.0,1010650001.0,Clinton                                                                    
1641,Bronx Engineering and Technology Academy|Bronx School of Law and Finance|English Language Learners and International Suppor|Marble Hill High School for International Studies|Kennedy Yabc|Bronx Theatre High School|THE NEW VISIONS CHARTER HS FOR THE HUMANITIES(XW)|THE NEW VISIONS CHARTER HS FOR ADVANCED MATH AND SCIENCE(XW)|99 TERRACE VIEW AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10463.0,40.877105,-73.912256,8.0,10.0,309.0,1064532.0,1022150080.0,Marble Hill-Inwood                                                         
1642,"Robert F. Wagner, Jr. Secondary School for Arts an",1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11426.0,40.746352,-73.727657,13.0,23.0,1567.0,4438378.0,4084010001.0,Bellerose                                                                  
1643,P.S. 156 Laurelton |  Queens United Middle School |  229-02 137 AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11374.0,40.732289,-73.853825,6.0,29.0,721.0,4442846.0,4021260014.0,Forest Hills                                                               
1644,P.S. 81Q Jean Paul Richter,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11105.0,40.772863,-73.914708,1.0,22.0,115.0,4017485.0,4008420031.0,Steinway                                                                   
1645,Forest Hills High School,7.0,4.0,12C,3001-4000,1.13,8.47,15.33,3.8,3.07,11101.0,40.751331,-73.937434,1.0,26.0,33.0,4005026.0,4004170016.0,Queensbridge-Ravenswood-Long Island City                                   
1646,P.S. R037,1.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10451.0,40.818816,-73.91901,1.0,17.0,67.0,2001881.0,2024110119.0,Melrose South-Mott Haven North                                             
1647,Bronx Green Middle School |  Pelham Academy of Academics and Community Engagement |  Bronx Park Middle School |  2441 WALLACE AVENUE CONSOLIDATED LOCATION,2.0,2.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10467.0,40.862109,-73.864577,11.0,13.0,330.0,2051313.0,2044320001.0,Bronxdale                                                                  
1648,I.S. 237 |  East-West School of International Studies |  46-21 COLDEN STREET CONSOLIDATED LOCATION,4.0,4.0,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,11354.0,40.771265,-73.831525,7.0,20.0,88901.0,4462993.0,4043710173.0,Flushing                                                                   
1649,P.S. Q811,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11373.0,40.73679,-73.887438,4.0,25.0,479.0,4056455.0,4024510021.0,Elmhurst-Maspeth                                                           
1650,Queens Gateway to Health Sciences Secondary School,0.0,3.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11373.0,40.736003,-73.867478,4.0,25.0,683.0,4462647.0,4018730050.0,Elmhurst                                                                   
1651,I.S. 075 Frank D. Paulo,0.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,10306.0,40.569393,-74.107737,2.0,50.0,11202.0,5055367.0,5039300010.0,New Dorp-Midland Beach                                                     
1652,Stephen T. Mather Building Arts & Craftsmanship Hi|  BUSINESS OF SPORTS SCHOOL|  Urban Assembly Gateway School for Technology| Success Academy Hell's Kitchen|  439 West 49th Street CONSOLIDATED LOCATION,5.0,2.0,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,10014.0,40.728677,-74.005993,2.0,3.0,67.0,1009757.0,1005810054.0,West Village                                                               
1653,Space Shuttle Columbia School,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10301.0,40.634009,-74.097826,1.0,49.0,67.0,5002227.0,5001000100.0,New Brighton-Silver Lake                                                   
1654,I.S. 119 The Glendale,0.0,1.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11105.0,40.780347,-73.916655,1.0,22.0,103.0,4019633.0,4008800001.0,Steinway                                                                   
1655,P.S. 041 Crocheron | 214-43 35 Avenue,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11436.0,40.672727,-73.788164,12.0,28.0,788.0,4262725.0,4121040001.0,Baisley Park                                                               
1656,J.H.S. 216 George J. Ryan,0.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11375.0,40.736524,-73.851455,6.0,29.0,745.0,4051290.0,4021430001.0,Forest Hills                                                               
1657,J.H.S. 202 Robert H. Goddard |  Robert H. Goddard High School of Communication Art |  138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,2.0,0.0,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,11106.0,40.757065,-73.932664,1.0,26.0,51.0,4004156.0,4003430001.0,Queensbridge-Ravenswood-Long Island City                                   
1658,P.S. 015 Jackie Robinson,0.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11102.0,40.768985,-73.922428,1.0,22.0,71.0,4007663.0,4005940001.0,Old Astoria                                                                
1659,P.S. 306 |  The Bronx School of Young Leaders |  40 WEST TREMONT AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10470.0,40.901428,-73.8544,12.0,11.0,414.0,2097456.0,2050800001.0,Woodlawn-Wakefield                                                         
1660,P.S. Q016 The Nancy DeBenedittis School,1.0,0.0,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,11101.0,40.745095,-73.936635,2.0,26.0,179.0,4003517.0,4002740001.0,Hunters Point-Sunnyside-West Maspeth                                       
1661,Epic High School - North,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11375.0,40.711367,-73.856698,6.0,29.0,645.0,4447233.0,4038860800.0,Forest Hills                                                               
1662,P.S. 160 Walt Disney | 4141 Hutchinson River PKWY,1.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10455.0,40.814916,-73.905518,1.0,8.0,79.0,2004773.0,2026640029.0,Melrose South-Mott Haven North                                             
1663,P.S. 280,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11368.0,40.755418,-73.869017,3.0,21.0,377.0,4042496.0,4017140018.0,North Corona                                                               
1664,P.S. / I.S. 54,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10457.0,40.848472,-73.888561,6.0,15.0,373.0,2012359.0,2030810026.0,East Tremont                                                               
1665,Fort Hill Collaborative Elementary School |P.S. 016 John J. Driscoll |80 MONROE AVENUE CONSOLIDATED LOCATION ,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10302.0,40.636598,-74.132919,1.0,49.0,207.0,5106979.0,5010200001.0,Port Richmond                                                              
1666,The Forward School |  The Young Scholars Academy of The Bronx |  School of Diplomacy |  3710 BARNES AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10452.0,40.834749,-73.923081,4.0,16.0,63.0,2003022.0,2024950100.0,West Concourse                                                             
1667,New Dorp High School| New Dorp Evening Hs M/W| 465 NEW DORP LANE CONSOLIDATED LOCATION,4.0,6.0,11C,2501-3000,3.14,13.0,34.86,8.29,5.29,10301.0,40.644735,-74.081222,1.0,49.0,7.0,5106483.0,5000220001.0,West New Brighton-New Brighton-St. George                                  
1668,"Kingsbridge International High School |  International School for Liberal Arts |  High School for Teaching and the Professions |  Celia Cruz Bronx High School of Music, The |  Walton Yabc |  Discovery High School |  2780 RESERVOIR AVENUE CONSOLIDATED LOCATION",,,3C,251-500,,,,,,10468.0,40.870293,-73.898309,7.0,11.0,409.0,2015241.0,2032470070.0,Van Cortlandt Village                                                      
1669,Urban Institute of Mathematics| Bronx Delta School| Mott Hall Community School| 650 HOLLYWOOD AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10457.0,40.843546,-73.889755,6.0,17.0,36901.0,2094582.0,2029510032.0,East Tremont                                                               
1670,I.S. 072 Rocco Laurie,0.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,10306.0,40.569393,-74.107737,2.0,50.0,11202.0,5055367.0,5039300010.0,New Dorp-Midland Beach                                                     
1671,P.S. 163 Arthur A. Schomburg | 2075 Webster Avenue,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10456.0,40.828696,-73.917668,4.0,16.0,18302.0,2002497.0,2024460043.0,East Concourse-Concourse Village                                           
1672,Queens High School for the Sciences at York College | 94-50 159th Street,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11423.0,40.711849,-73.771195,12.0,23.0,480.0,4222072.0,4104430001.0,Jamaica                                                                    
1673,Naples Street Elementary School,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10304.0,40.620347,-74.081643,1.0,49.0,29.0,5014184.0,5005560080.0,Stapleton-Rosebank                                                         
1674,Renaissance High School for Musical Theater & Tech |  Pelham Lab High School |  Schuylerville Preparatory High School |  Bronx River High School |  Herbert H. Lehman High School. |  Herbert H. Lehman Yabc |  Westchester Square Academy |  3000 EAST TREMONT AVENUE CONSOLIDATED LOCATION,,,5C,751-1000,,,,,,10461.0,40.840702,-73.838545,10.0,13.0,194.0,2074045.0,2053680001.0,Schuylerville-Throgs Neck-Edgewater Park                                   
