,School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N
259,2016 - 17,Manhattan Early College School for Advertising,M280,M,2,239.0,198 FORSYTH STREET CONSOLIDATED LOCATION,2,534.0,CHOIR ACADEMY,Forsyth Satellite Academy |  Cascades High School |  198 FORSYTH STREET CONSOLIDATED LOCATION,,,
260,2016 - 17,P.S. M226,M226,M,2,411.0,145 WEST  84 STREET CONSOLIDATED LOCATION,5,539.0,GEORGE WASHINGTON HS ,The Urban Assembly School for Green Careers|The Global Learning Collaborative|Innovation Diploma Plus|FRANK McCOURT HIGH SCHOOL|Success Academy Charter School - Upper West|145 WEST  84 STREET CONSOLIDATED LOCATION,,,
261,2016 - 17,"Heritage School, The",M680,M,4,1145.0,,1,554.0,JHS 099M,J.H.S. 104 Simon Baruch,0.0,4.0,1.0
262,2016 - 17,Madiba Prep Middle School,K681,K,16,136.0,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,60.0,PS 025K,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,,
263,2016 - 17,P.S. 346 Abe Stark,K346,K,19,639.0,,1,128.0,PS 332K,P.S. 345 Patrolman Robert Bolden,0.0,1.0,2.0
264,2016 - 17,P.S./I.S. 157 The Benjamin Franklin Health & Scien,K157,K,14,454.0,,1,236.0,PS 154K,P.S./ I.S. 155 Nicholas Herkimer,0.0,1.0,0.0
265,2016 - 17,P.S. 016 Leonard Dunkly,K016,K,14,232.0,157 WILSON STREET CONSOLIDATED LOCATION,2,56.0,PS 016K,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,,,
266,2016 - 17,P.S. 222 Katherine R. Snyder,K222,K,22,352.0,,1,24.0,IS 218K,P.S. 221 Toussaint L'Ouverture,0.0,3.0,4.0
267,2016 - 17,Brooklyn Institute for Liberal Arts,K745,K,17,460.0,600 KINGSTON AVENUE CONSOLIDATED LOCATION,4,149.0,ERASMUS HALL HS,"School for Human Rights, The |  School for Democracy and  Leadership |  International Arts Business School |  High School for Public Service: Heroes  of Tomorro |  Brooklyn Institute for Liberal Arts |  600 KINGSTON AVENUE CONSOLIDATED LOCATION",,,
268,2016 - 17,P.S. 038 The Pacific,K038,K,15,544.0,,1,135.0,PS/IS 035K,P.S. 038 The Pacific,0.0,0.0,0.0
