,School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1612,2016 - 17,P.S. 310 Marble Hill,X310,X,10,961.0,,1,460.0,MS 399X,P.S. 119 | 1075 Pugsley Avenue,0.0,0.0,0.0,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10463.0,40.872895,-73.905244,7.0,14.0,269.0,2096486.0,2032390041.0,Kingsbridge Heights                                                        
1613,2016 - 17,High School of World Cultures,X550,X,12,456.0,1300 BOYNTON AVENUE CONSOLIDATED LOCATION ,5,529.0,WILLIAM H. TAFT HIGH SCHOOL,Pan American International High School at Monroe|Learning To Work Yabc At Monroe Academy|The Metropolitan Soundview High School|High School of World Cultures|Monroe Academy for Visual Arts & Design|1300 BOYNTON AVENUE CONSOLIDATED LOCATION ,,,,,,3C,251-500,,,,,,10472.0,40.831601,-73.878912,9.0,18.0,56.0,2027459.0,2038640001.0,West Farms-Bronx River                                                     
1614,2016 - 17,I.S. 73 - The Frank Sansivieri Intermediate School,Q073,Q,24,442.0,133-25 GUY R BREWER BOULEVARD CONSOLIDATED LOCATION,2,900.0,PS 066Q,Catherine & Count Basie Middle School 72|  Redwood Middle School|  133-25 GUY R BREWER BOULEVARD CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,11378.0,40.729215,-73.893624,5.0,30.0,49302.0,4058611.0,4025030031.0,Maspeth                                                                    
1615,2016 - 17,I.S. 075 Frank D. Paulo,R075,R,31,960.0,,1,1010.0,PS 052R,P.S. 069 Daniel D. Tompkins,0.0,0.0,2.0,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10312.0,40.54438,-74.197897,3.0,51.0,17010.0,5079651.0,5060500002.0,Arden Heights                                                              
1616,2016 - 17,I.S. 007 Elias Bernstein,R007,R,31,764.0,,1,899.0,PS 065Q,P.S. 004 Maurice Wollin,0.0,1.0,0.0,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10312.0,40.523757,-74.185941,3.0,51.0,198.0,5082345.0,5065440001.0,Annadale-Huguenot-Prince's Bay-Eltingville                                 
1617,2016 - 17,Queens Vocational and Technical High School,Q600,Q,24,849.0,,1,1059.0,CAMPUS MAGNET HS (A.J. HS),Frank Sinatra School of the Arts High School,0.0,0.0,1.0,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11101.0,40.742205,-73.928219,2.0,26.0,189.0,4003259.0,4002280020.0,Hunters Point-Sunnyside-West Maspeth                                       
1618,2016 - 17,High School of Economics and Finance,M489,M,2,663.0,,1,705.0,SCHOOL OF THE FUTURE,Community Health Academy of the Heights,0.0,0.0,2.0,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10006.0,40.709196,-74.012022,1.0,1.0,13.0,1001037.0,1000520001.0,Battery Park City-Lower Manhattan                                          
1619,2016 - 17,P.S. 085 Great Expectations,X085,X,10,314.0,1700 MACOMBS ROAD CONSOLIDATED LOCATION,3,1056.0,PS 195X,I.S. 232 |  I.S. X303 Leadership & Community Service |  Academy for Language and Technology |  1700 MACOMBS ROAD CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10458.0,40.8591,-73.894946,5.0,15.0,38302.0,2011054.0,2030240021.0,Fordham South                                                              
1620,2016 - 17,Archer Elementary School,X531,X,12,501.0,2750 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3,385.0,PS 096X,P.S. X010 |  M.S. X101 Edward R. Byrne |  P.S. 304 Early Childhood School |  2750 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,10460.0,40.837631,-73.866036,9.0,18.0,21601.0,2028640.0,2039210030.0,West Farms-Bronx River                                                     
1621,2016 - 17,VOYAGES Preparatory,Q744,Q,24,506.0,45-10 94TH STREET CONSOLIDATED LOCATION,4,750.0,John F. Kennedy Jr. School (old OTC 721Q),Civic Leadership Academy |  Pan American International High School |  Corona Arts and Sciences Academy |  VOYAGES Preparatory |  45-10 94TH STREET CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,11373.0,40.74373,-73.870642,4.0,25.0,463.0,4437166.0,4016000061.0,Elmhurst                                                                   
